0x4:b8080050	 brai	 0x50	 
0x50:b0000000	 imm	 0x0	 
0x54:31a00c28	 addik	 r13,  r0,  0xc28	 
0x54:31a00c28	 addik	 r13,  r0,  0xc28	 
0x58:b0000000	 imm	 0x0	 
0x5c:30400ae0	 addik	 r2,  r0,  0xae0	 
0x5c:30400ae0	 addik	 r2,  r0,  0xae0	 
0x60:b0000001	 imm	 0x1	 
0x64:3020dab0	 addik	 r1,  r0,  0xdab0	 
0x64:3020dab0	 addik	 r1,  r0,  0xdab0	 
0x68:b0000000	 imm	 0x0	 
0x6c:b9f401bc	 brlid	 r15,  0x1bc	 
0x70:80000000	 or	 r0,  r0,  r0	 
0x6c:b9f401bc	 brlid	 r15,  0x1bc	 
0x70:80000000	 or	 r0,  r0,  r0	 
0x70:80000000	 or	 r0,  r0,  r0	 
0x228:2021ffd8	 addi	 r1,  r1,  0xffd8	 
0x22c:f9e10000	 swi	 r15,  r1,  0x0	 
0x230:b0000000	 imm	 0x0	 
0x234:20c00c28	 addi	 r6,  r0,  0xc28	 
0x234:20c00c28	 addi	 r6,  r0,  0xc28	 
0x238:b0000000	 imm	 0x0	 
0x23c:20e00c28	 addi	 r7,  r0,  0xc28	 
0x23c:20e00c28	 addi	 r7,  r0,  0xc28	 
0x240:06463800	 rsub	 r18,  r6,  r7	 
0x244:bc720014	 blei	 r18,  0x14	 
0x25c:20c00c28	 addi	 r6,  r0,  0xc28	 
0x260:b0000000	 imm	 0x0	 
0x264:20e04acc	 addi	 r7,  r0,  0x4acc	 
0x264:20e04acc	 addi	 r7,  r0,  0x4acc	 
0x268:06463800	 rsub	 r18,  r6,  r7	 
0x26c:bc720014	 blei	 r18,  0x14	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
0x274:20c60004	 addi	 r6,  r6,  0x4	 
0x278:06463800	 rsub	 r18,  r6,  r7	 
0x27c:bc92fff4	 bgti	 r18,  0xfff4	 
