0x80000000:00002197	 auipc	 a3,  0x2	 
0x80000004:86c18193	 addi	 a3,  a3,  0x86c	 
0x80000008:08000117	 auipc	 a2,  0x8000	 
0x8000000c:ff810113	 addi	 a2,  a2,  0xff8	 
0x80000010:00010433	 add	 a8,  a2,  a0	 
0x80000014:0040006f	 jal	 a0,  0x4	 
0x80000018:ff010113	 addi	 a2,  a2,  0xff0	 
0x8000001c:00012623	 sw	 a2,  a0,  0xc	 
0x80000020:00a00793	 addi	 a15,  a0,  0xa	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000024:00c12703	 lw	 a14,  a2,  0xc	 
0x80000028:fff78793	 addi	 a15,  a15,  0xfff	 
0x8000002c:00e12623	 sw	 a2,  a14,  0xc	 
0x80000030:fe079ae3	 bne	 a15,  a0,  0x1ff4	 
0x80000034:00c12503	 lw	 a10,  a2,  0xc	 
0x80000038:01010113	 addi	 a2,  a2,  0x10	 
0x8000003c:00008067	 jalr	 a0,  a1,  0x0	 
